Date,FIPS,Recip_County,Recip_State,Series_Complete_Yes,Series_Complete_Pop_Pct,pop
9/14/2022,20193,Thomas County,KS,"3,290",42.3,45677.25753
9/14/2022,26097,Mackinac County,MI,"8,142",75.4,5815.631263
9/14/2022,53015,Cowlitz County,WA,"66,502",60.1,44650.44814
9/14/2022,24039,Somerset County,MD,"13,124",51.2,2650.10352
9/14/2022,48241,Jasper County,TX,"12,971",36.5,11886.59794
9/14/2022,18117,Orange County,IN,"11,291",57.5,23328.87701
9/14/2022,17045,Edgar County,IL,"8,568",49.9,17363.98467
9/14/2022,53073,Whatcom County,WA,"167,984",73.3,32386.17886
9/14/2022,06099,Stanislaus County,CA,"307,558",55.9,30349.47644
9/14/2022,06097,Sonoma County,CA,"394,200",79.7,77026.04167
9/14/2022,72123,Salinas Municipio,PR,"21,115",77.8,20351.64835
9/14/2022,40149,Washita County,OK,"4,364",40,546098.9011
9/14/2022,29029,Camden County,MO,"21,467",46.4,30482.29342
9/14/2022,31167,Stanton County,NE,"1,725",29.1,223378.2772
9/14/2022,17151,Pope County,IL,"1,513",36.2,33983.64008
9/14/2022,48055,Caldwell County,TX,"24,516",56.1,47962.7193
9/14/2022,21163,Meade County,KY,"11,456",40.1,172021.9092
9/14/2022,48369,Parmer County,TX,"3,912",40.7,10246.60633
9/14/2022,51678,Lexington city,VA,"2,939",39.5,4019.685039
9/14/2022,28145,Union County,MS,"11,560",40.1,90895.83333
9/14/2022,27161,Waseca County,MN,"10,799",58,2274.193548
9/14/2022,22065,Madison Parish,LA,"5,158",47.1,9018.91253
9/14/2022,12047,Hamilton County,FL,"5,146",35.7,37357.03246
9/14/2022,51820,Waynesboro city,VA,"9,803",43.3,41750.71633
9/14/2022,31075,Grant County,NE,134,21.5,16142.85714
9/14/2022,47071,Hardin County,TN,"10,621",41.4,38462.52285
9/14/2022,46033,Custer County,SD,"4,651",51.8,10530.4878
9/14/2022,55059,Kenosha County,WI,"104,685",61.7,33714.28571
9/14/2022,48043,Brewster County,TX,"5,165",56.1,37971.37014
9/14/2022,48167,Galveston County,TX,"208,117",60.8,3463.465553
9/14/2022,26157,Tuscola County,MI,"24,225",46.4,16712.76596
9/14/2022,22007,Assumption Parish,LA,"9,711",44.4,18012.07729
9/14/2022,30063,Missoula County,MT,"78,570",65.7,13678.36257
9/14/2022,01057,Fayette County,AL,"5,836",35.8,6123.966942
9/14/2022,16073,Owyhee County,ID,"4,281",36.2,66836.73469
9/14/2022,54053,Mason County,WV,"13,551",51.1,17690.17094
9/14/2022,37025,Cabarrus County,NC,"129,641",59.9,12291.8552
9/14/2022,26121,Muskegon County,MI,"96,792",55.8,21331.39535
9/14/2022,13309,Wheeler County,GA,"2,122",27,475837.0274
9/14/2022,45053,Jasper County,SC,"11,732",39,7040.28021
9/14/2022,20051,Ellis County,KS,"14,694",51.5,10768.0798
9/14/2022,22071,Orleans Parish,LA,"277,996",71.3,51038.96104
9/14/2022,27025,Chisago County,MN,"33,128",58.6,22201.55039
9/14/2022,27061,Itasca County,MN,"25,927",57.4,269079.2507
9/14/2022,26021,Berrien County,MI,"87,648",57.1,13665.99598
9/14/2022,13001,Appling County,GA,"6,716",36.5,8031.858407
9/14/2022,37045,Cleveland County,NC,"51,050",52.1,13662.13922
9/14/2022,39075,Holmes County,OH,"8,085",18.4,19989.47368
9/14/2022,05013,Calhoun County,AR,"2,036",39.2,46242.14418
9/14/2022,50025,Windham County,VT,"29,631",70.2,4524.300442
9/14/2022,21037,Campbell County,KY,"61,082",65.3,14109.09091
9/14/2022,47137,Pickett County,TN,"2,311",45.8,95711.11111
9/14/2022,47027,Clay County,TN,"2,317",30.4,39591.74312
9/14/2022,22107,Tensas Parish,LA,"2,761",63.7,9776.536313
9/14/2022,29221,Washington County,MO,"8,060",32.6,18660.34156
9/14/2022,26035,Clare County,MI,"14,476",46.8,181807.0988
9/14/2022,26053,Gogebic County,MI,"9,117",65.2,31498.70801
9/14/2022,34015,Gloucester County,NJ,"185,406",63.6,11272.03647
